Long,Lat,ROI
23.338408,39.168907,0
26.065716,35.123703,0
22.6744605,36.85396,9.8
24.636884,40.7626835,6.8
23.706167,40.722763,0
23.365578,37.498428,0
22.7694645,39.353403,4.7
23.085103,39.343224,21.9
24.034845,37.7462025,0
22.859921,37.934895,14.0
21.7272365,38.2338335,14.3
21.159201,40.839069,1.2
22.9381075,40.6516455,7.4
21.333218,37.717545,3.2
23.820992,38.004086,3.3
22.0778825,38.2506695,5.7
21.3665685,37.828623,0
24.001793,37.952335,5.8
23.7349035,37.9576705,4.7
25.361206,35.326504,0
24.398232,35.233631,0
23.462856,37.3463495,0
20.668945,38.385544,0
22.963094,40.5743595,3.3
24.778254,35.327316,0
22.399223,37.050606,0
22.9959725,36.747589,0
23.1664245,39.411081,0
22.634068,37.359138,0
20.8130065,39.697134,5.2
21.3862485,37.6774255,0
22.958811,40.6579725,5.3
22.998812,39.390949,0
23.467123,37.956459,3.8
22.964972,37.7752,0
23.577358,41.097973,0
22.7609575,38.00432,0
23.9745285,38.4185885,3.4
23.039789,36.813137,0
25.1161,35.322357,3.7
23.652918,37.968086,4.5
25.310567,37.423584,27.1
23.698498,40.366592,0
23.668687,37.962244,5.8
21.41931,38.61568,5.3
23.690723,38.087698,4.0
23.709311,38.013775,3.9
25.1817205,36.98629,5.4
22.621777,38.364399,0
26.3925745,38.9701005,31.4
20.830466,37.787157,3.0
26.252012,37.591618,5.0
24.013847,37.725582,8.3
21.403898,38.634106,5.7
22.0367915,37.1544245,3.4
22.0494215,38.257847,0
24.314193,38.060427,3.9
21.995312,37.020874,0
24.367085,35.297718,0
23.762637,38.3328285,6.7
22.8665875,38.754189,5.3
22.468914,39.401649,0
20.566406,39.973644,0
22.954687,37.901134,0
23.060217,39.361282,3.9
24.382681,40.932377,3.9
24.023958,38.441986,7.9
24.760742,35.321575,0
23.336379,40.257563,2.4
24.18474,38.550274,0
23.566702,38.481739,14.1
23.016579,39.329708,4.0
26.146389,38.31419,4.2
25.028894,35.232403,7.7
23.463679,37.520872,0
23.290257,38.163471,5.3
22.0875245,38.248209,0
20.802827,38.8670635,6.8
23.91917,37.72382,4.2
23.698412,38.075796,1029.4
24.0253195,37.993923,4.6
23.3469225,39.012402,0
23.726615,38.007801,5.3
22.9727365,40.6020225,5.1
23.058929,38.685917,8.5
20.708586,37.904446,0
23.464858,37.3493595,0
21.8275955,38.9048195,1.4
25.716417,35.1900595,0
22.288895,36.824146,4.7
23.641912,38.4211885,4.4
23.368253,37.637482,0
22.964878,36.6812645,0
22.8525305,37.587004,0
23.859815,37.9929695,3.7
21.82159,39.33168,0
20.750219,38.950859,0.0
23.706009,40.250851,10.6
23.1026145,36.4759065,0.0
23.757324,37.9685555,4.8
24.300583,37.625698,0
22.335724,36.750305,0
24.064431,35.5423505,2.5
22.9710365,39.384489,3.3
23.625952,37.945835,5.2
22.957955,40.582336,3.2
25.280783,34.985882,0
23.7288295,37.9983955,6.5
23.624384,37.961555,5.6
21.246492,37.95435,0
25.911739,35.031315,0
23.987448,38.119637,5.7
23.269537,40.326267,0
22.9488985,40.660507,4.5
23.061226,40.339237,7.3
24.575998,35.106262,0
21.96678,40.675903,0
22.9623195,40.6406975,5.4
24.19809,35.424904,0
23.735357,38.093216,4.8
22.585073,40.869759,5.9
22.548582,37.328407,0
23.708645,37.926682,3.0
23.746334,37.955425,4.3
23.3810485,40.4651315,0
25.352404,37.080517,2.0
22.959101,40.661255,4.6
25.112514,37.561043,12.7
23.9799145,37.977825,5.0
22.7113885,38.815548,0
24.383459,40.934719,4.3
25.112384,35.241121,7.9
24.337896,37.583344,0
23.718615,37.956059,3.9
23.714012,37.950939,4.9
25.219841,37.530968,17.2
23.421093,38.112816,6.1
22.442128,40.205608,0
23.865868,38.141487,6.5
24.399689,37.387787,1.3
25.970671,35.069767,0
21.7655705,38.2007065,1.0
23.016248,36.6435315,0
25.319967,37.469913,23.3
21.614729,38.087502,0
23.714001,38.073559,7.4
23.85697,38.0637895,4.7
25.421028,37.098167,0
26.55411,39.105736,9.6
25.0335645,35.1475715,3.0
23.760889,37.981812,4.5
23.58795,38.279308,5.1
22.390477,39.629557,7.8
23.795863,38.040926,4.8
20.812332,38.968822,0.9
23.696833,38.04953,5.6
21.527216,40.761368,0
23.642591,37.928978,2.4
23.112865,40.663643,9.9
25.19054,35.196728,15.6
21.812536,38.313885,4.5
25.4595675,35.033846,0
23.140341,38.176334,0
22.422184,39.6415485,5.9
21.6160725,39.470009,0
23.069885,39.3423825,0
22.800522,38.499554,0
23.364388,37.420986,0
25.132154,35.254257,6.7
21.562729,38.129696,0
25.149805,37.001354,12.9
24.895277,36.630611,0
23.436756,38.8779395,0
25.400484,37.096668,6.5
25.357309,35.331329,10.7
21.841978,39.488277,3.1
22.856209,38.747746,0
25.975113,40.879257,6.9
21.461519,39.868923,0
23.716558,39.103889,0
21.613434,39.140938,0
21.853888,37.925159,0
21.528053,37.897579,0
23.0164385,39.342062,5.5
25.347519,35.315849,5.3
21.992256,37.892101,0
21.508656,37.600723,1.0
23.749168,38.1021,4.8
21.96785,37.097404,0
21.705,38.127357,0
20.8638275,37.743309,0
22.4047615,38.9256765,5.7
22.596581,37.623615,30.0
22.068121,37.137947,0
21.587083,37.201117,0
21.408545,38.628693,7.2
23.302286,39.022217,5.0
21.7487225,38.2693135,5.2
23.457249,37.923618,4.8
22.83419,39.282085,0
23.045256,38.877361,0
23.6784295,37.994112,4.9
22.680672,39.967075,0
22.35592,38.147949,0
