Long,Lat,ROI,n_sale,n_rent,sale_price_per_meter,rent_price_per_meter,geography
23.22574,37.371307,5.2,9,5,1627,7,Agioi Anargiroi (Ermioni)
22.365887,39.524548,9.0,1,1,401,3,Agioi Anargiroi (Krannonas)
23.122637,37.255371,0,5,0,3571,0,Agioi Anargiroi (Spetses)
23.804626,38.0518,3.8,169,44,3163,10,Agioi Anargyroi (Marousi)
23.74979,38.044573,4.1,36,2,2777,10,Agioi Anargyroi (Nea Ionia)
24.196251,38.410965,4.2,7,8,1838,7,Agioi Apostoloi (Distos)
21.459251,37.749214,0,1,0,803,0,Agioi Apostoloi (Iardanos)
23.9027435,38.2933845,4.7,56,18,1539,6,Agioi Apostoloi (Kalamos)
21.921936,39.364429,168.0,1,3,50,7,Agioi Apostoloi (Karditsa)
23.947792,38.625385,0,1,0,1565,0,Agioi Apostoloi (Kimi)
23.97868,35.510555,3.3,3,5,2900,8,Agioi Apostoloi (Nea Kidonia)
23.045282,36.549725,0,1,0,3800,0,Agioi Apostoloi (Voion)
23.84973,38.421406,5.3,9,1,1578,7,Agioi Asomatoi (Eretria)
24.96247,35.056873,4.3,2,3,1114,4,Agioi Deka (Gortina)
25.721489,35.190193,0,1,0,2166,0,Agioi Pantes (Agios Nikolaos)
22.292557,38.368984,0,1,0,1333,0,Agioi Pantes (Galaxidi)
23.141199,37.929588,0,17,0,1481,0,Agioi Theodoroi (Corinthia)
25.404169,41.043083,0,1,0,453,0,Agioi Theodoroi (Neo Sidirochori)
22.947344,39.001373,3.2,1,1,1111,3,Agioi Theodoroi (Pteleos)
22.9461915,40.6470145,6.6,90,30,1461,8,Agioi Theodoroi (Sikies)
23.038591,38.931026,39.2,9,1,1377,45,Agiokampos (Aidipsos)
22.878313,39.6958885,0,2,0,1948,0,Agiokampos (Melivoia)
22.482306,37.496555,0,1,0,1000,0,Agiorgitika (Korithio)
23.0592535,38.905939,0,6,0,622,0,Agios (Aidipsos)
23.543787,38.641281,0,1,0,1949,0,Agios (Messapia)
22.8454795,37.5998555,4.1,24,3,1736,6,Agios Adrianos (Nea Tirintha)
23.194248,37.296898,7.7,57,3,2812,18,Agios Aimilianos (Kranidi)
21.741926,38.254642,5.5,41,83,1527,7,Agios Alexios (Patra)
22.124186,38.1648525,0,4,0,2448,0,Agios Andreas (Aigio)
23.094091,37.630972,0,6,0,3000,0,Agios Andreas (Asklipieio)
24.2849015,40.87001,0.7,20,2,2529,2,Agios Andreas (Eleitheres)
21.920601,36.866814,0,11,0,2093,0,Agios Andreas (Epia)
23.7391625,38.40333,7.1,8,3,1679,10,Agios Andreas (Eretria)
23.99225,38.050125,14.3,1,2,1600,19,Agios Andreas (Nea Makri)
22.764658,37.345127,0,13,0,539,0,Agios Andreas (North Kinouria)
23.849992,37.9683265,0,8,0,2394,0,Agios Andreas (Paiania)
25.215855,37.105984,0,1,0,7000,0,Agios Andreas (Paros)
21.729579,38.2407095,5.8,124,166,1642,8,Agios Andreas (Patra)
21.314421,37.667721,2.3,3,2,2641,5,Agios Andreas (Pirgos)
21.891975,36.856613,0,1,0,833,0,Agios Antonios (Epia)
23.657955,35.493744,0,2,0,1604,0,Agios Antonios (Kissamos)
23.765526,35.4838395,0,2,0,724,0,Agios Antonios (Kolimvari)
22.40799,39.635349,6.3,5,9,1333,7,Agios Antonios (Larisa)
24.8857715,35.071655,0,6,0,1645,0,Agios Antonios (Moires)
23.70343,38.007874,3.4,53,7,2135,6,Agios Antonios (Peristeri)
23.093172,40.4726315,0,14,0,1027,0,Agios Antonios (Vasilika)
25.391575,37.061386,0,3,0,3241,0,Agios Arsenios (Naxos)
23.742279,37.959753,4.9,410,70,2682,11,Agios Artemios (Athens - Center)
23.7787225,38.605322,0,2,0,720,0,Agios Athanasios (Dirfis)
24.246441,41.075623,6.8,5,5,530,3,Agios Athanasios (Doxato)
24.288375,40.818539,0,2,0,5714,0,Agios Athanasios (Eleitheres)
24.4208285,40.943022,0,16,0,1054,0,Agios Athanasios (Kavala)
23.125393,39.320644,0,1,0,1875,0,Agios Athanasios (Milies)
23.480009,37.93251,6.7,11,2,1428,8,Agios Athanasios (Salamina)
23.732999,38.3162575,0,2,0,1147,0,Agios Athanasios (Sikamino)
23.692385,40.209263,0,3,0,3500,0,Agios Athanasios (Sithonia)
22.7489605,40.7340545,0,2,0,912,0,Agios Athanasios (Thessaloniki - Rest of Prefecture)
21.7696995,40.8407745,0,32,0,1229,0,Agios Athanasios (Vegoritida)
23.029312,37.922909,5.2,13,1,1157,5,Agios Charalampos (Loutraki-Perachora)
25.501286,40.884514,0,1,0,3000,0,Agios Charalampos (Maroneia)
22.659263,38.7677305,0,2,0,1119,0,Agios Charalampos (Molos)
25.165808,37.043804,0,5,0,3623,0,Agios Charalampos (Paros)
23.7741995,41.0434835,0,2,0,262,0,Agios Christoforos (Nea Zichni)
24.014757,37.726959,0,9,0,2058,0,Agios Constantinos (Rest of Attica)
20.7978695,37.798578,0,2,0,2094,0,Agios Dimitrios (Alikes)
24.5757475,35.3533265,7.3,8,2,2369,15,Agios Dimitrios (Arkadi)
23.730623,37.934216,2.9,357,23,3275,8,Agios Dimitrios (Athens - South)
22.94943,40.6390265,4.8,360,185,2230,9,Agios Dimitrios (Center of Thessaloniki)
24.142355,38.282337,0,2,0,1795,0,Agios Dimitrios (Distos)
21.9476245,40.4279995,0,2,0,3738,0,Agios Dimitrios (Ellispontos)
20.941,39.41605,0,1,0,2538,0,Agios Dimitrios (Ioannina Prefecture)
22.969383,37.895451,0,5,0,1535,0,Agios Dimitrios (Korinthos)
23.862549,37.80843,5.3,81,46,2500,11,Agios Dimitrios (Koropi)
24.3755145,37.312927,23.3,10,2,4615,90,Agios Dimitrios (Kythnos)
